Type command to execute:
1. Send data (s)
2. Receive data (r)
Command: FFT 511 = 256197, freq = 22006
FFT 416 = 816832, freq = 17915
FFT 413 = 1.67394e+06, freq = 17786
FFT 412 = 3.15059e+06, freq = 17743
FFT 410 = 3.28423e+06, freq = 17657
FFT 511 = 100627, freq = 22006
FFT 510 = 114858, freq = 21963
FFT 506 = 130146, freq = 21791
FFT 492 = 150433, freq = 21188
FFT 482 = 157077, freq = 20758
FFT 477 = 196678, freq = 20542
FFT 474 = 219579, freq = 20413
FFT 465 = 224558, freq = 20025
FFT 463 = 321181, freq = 19939
FFT 462 = 341507, freq = 19896
FFT 460 = 370206, freq = 19810
FFT 459 = 430888, freq = 19767
FFT 457 = 562407, freq = 19681
FFT 456 = 718442, freq = 19638
FFT 453 = 1.08959e+06, freq = 19509
FFT 451 = 1.44207e+06, freq = 19422
FFT 450 = 3.08799e+06, freq = 19379
FFT 449 = 3.71174e+06, freq = 19336
FFT 446 = 1.10607e+07, freq = 19207
FFT 511 = 153000, freq = 22006
FFT 478 = 170870, freq = 20585
FFT 470 = 187326, freq = 20241
FFT 467 = 201270, freq = 20112
FFT 464 = 214554, freq = 19982
FFT 463 = 222700, freq = 19939
FFT 460 = 314425, freq = 19810
FFT 457 = 507960, freq = 19681
FFT 456 = 557016, freq = 19638
FFT 453 = 723474, freq = 19509
FFT 450 = 2.46775e+06, freq = 19379
FFT 449 = 5.1545e+06, freq = 19336
FFT 448 = 7.84562e+06, freq = 19293
FFT 511 = 56687.9, freq = 22006
FFT 510 = 69387.7, freq = 21963
FFT 508 = 74076, freq = 21877
FFT 507 = 78901.5, freq = 21834
FFT 502 = 107903, freq = 21619
FFT 499 = 108238, freq = 21490
FFT 483 = 144065, freq = 20801
FFT 468 = 181326, freq = 20155
FFT 455 = 210775, freq = 19595
FFT 446 = 313678, freq = 19207
FFT 433 = 366611, freq = 18647
FFT 431 = 458633, freq = 18561
FFT 426 = 486381, freq = 18346
FFT 424 = 630907, freq = 18260
FFT 422 = 741236, freq = 18174
FFT 420 = 784587, freq = 18087
FFT 419 = 1.11938e+06, freq = 18044
FFT 417 = 2.70758e+06, freq = 17958
FFT 416 = 3.65004e+06, freq = 17915
FFT 414 = 6.49001e+06, freq = 17829
FFT 413 = 7.8514e+06, freq = 17786
Data: 10011001
FFT 511 = 50442, freq = 22006
FFT 508 = 79235.9, freq = 21877
FFT 502 = 87143.2, freq = 21619
FFT 490 = 92874.9, freq = 21102
FFT 472 = 103694, freq = 20327
FFT 470 = 108968, freq = 20241
FFT 467 = 127228, freq = 20112
FFT 466 = 134799, freq = 20068
FFT 463 = 135609, freq = 19939
FFT 458 = 138726, freq = 19724
FFT 456 = 213096, freq = 19638
FFT 450 = 213408, freq = 19379
FFT 443 = 237711, freq = 19078
FFT 440 = 262510, freq = 18949
FFT 435 = 330511, freq = 18733
FFT 430 = 400321, freq = 18518
FFT 429 = 405220, freq = 18475
FFT 427 = 486845, freq = 18389
FFT 426 = 635629, freq = 18346
FFT 422 = 1.05503e+06, freq = 18174
FFT 421 = 1.61863e+06, freq = 18130
FFT 419 = 2.02779e+06, freq = 18044
FFT 418 = 1.04042e+07, freq = 18001
FFT 511 = 39182.4, freq = 22006
FFT 510 = 70294.5, freq = 21963
FFT 504 = 82163.6, freq = 21705
FFT 502 = 117971, freq = 21619
FFT 490 = 128536, freq = 21102
FFT 478 = 167212, freq = 20585
FFT 469 = 186732, freq = 20198
FFT 467 = 202488, freq = 20112
FFT 464 = 374925, freq = 19982
FFT 460 = 460610, freq = 19810
FFT 457 = 709423, freq = 19681
FFT 455 = 1.16361e+06, freq = 19595
FFT 453 = 1.80763e+06, freq = 19509
FFT 451 = 7.94997e+06, freq = 19422
FFT 450 = 8.21415e+06, freq = 19379
FFT 511 = 36691.1, freq = 22006
FFT 510 = 66243, freq = 21963
FFT 502 = 68021.4, freq = 21619
FFT 500 = 76879.2, freq = 21533
FFT 496 = 87532.8, freq = 21360
FFT 493 = 104807, freq = 21231
FFT 486 = 110354, freq = 20930
FFT 481 = 142968, freq = 20714
FFT 478 = 146676, freq = 20585
FFT 472 = 170245, freq = 20327
FFT 468 = 212679, freq = 20155
FFT 465 = 220893, freq = 20025
FFT 464 = 271220, freq = 19982
FFT 462 = 330465, freq = 19896
FFT 460 = 362889, freq = 19810
FFT 459 = 382266, freq = 19767
FFT 458 = 523226, freq = 19724
FFT 457 = 601713, freq = 19681
FFT 456 = 801322, freq = 19638
FFT 455 = 1.15703e+06, freq = 19595
FFT 454 = 2.44836e+06, freq = 19552
FFT 453 = 1.32226e+07, freq = 19509
FFT 511 = 37634.8, freq = 22006
FFT 510 = 64649.8, freq = 21963
FFT 509 = 74768.5, freq = 21920
FFT 508 = 101060, freq = 21877
FFT 496 = 103296, freq = 21360
FFT 495 = 104330, freq = 21317
FFT 492 = 108548, freq = 21188
FFT 470 = 110838, freq = 20241
FFT 465 = 124422, freq = 20025
FFT 456 = 127980, freq = 19638
FFT 455 = 169719, freq = 19595
FFT 454 = 182979, freq = 19552
FFT 452 = 363737, freq = 19466
FFT 428 = 364174, freq = 18432
FFT 427 = 459531, freq = 18389
FFT 426 = 515311, freq = 18346
FFT 425 = 541872, freq = 18303
FFT 424 = 872665, freq = 18260
FFT 423 = 1.15664e+06, freq = 18217
FFT 422 = 1.69357e+06, freq = 18174
FFT 421 = 3.76904e+06, freq = 18130
FFT 420 = 9.39964e+06, freq = 18087
FFT 511 = 25023.4, freq = 22006
FFT 508 = 44637.3, freq = 21877
FFT 506 = 50952.3, freq = 21791
FFT 505 = 67190.3, freq = 21748
FFT 498 = 85558.8, freq = 21447
FFT 497 = 95920.8, freq = 21404
FFT 495 = 106427, freq = 21317
FFT 490 = 168035, freq = 21102
FFT 468 = 173966, freq = 20155
FFT 465 = 263904, freq = 20025
FFT 463 = 275689, freq = 19939
FFT 462 = 346391, freq = 19896
FFT 460 = 355376, freq = 19810
FFT 459 = 484180, freq = 19767
FFT 458 = 583346, freq = 19724
FFT 457 = 1.04112e+06, freq = 19681
FFT 456 = 2.29606e+06, freq = 19638
FFT 455 = 1.72868e+07, freq = 19595
FFT 511 = 12305.3, freq = 22006
FFT 510 = 51360.4, freq = 21963
FFT 507 = 51951.1, freq = 21834
FFT 506 = 64272.1, freq = 21791
FFT 501 = 67055.1, freq = 21576
FFT 496 = 75967.8, freq = 21360
FFT 493 = 107843, freq = 21231
FFT 486 = 113285, freq = 20930
FFT 484 = 134367, freq = 20844
FFT 483 = 141289, freq = 20801
FFT 480 = 152905, freq = 20671
FFT 478 = 159954, freq = 20585
FFT 476 = 211629, freq = 20499
FFT 473 = 257710, freq = 20370
FFT 468 = 330218, freq = 20155
FFT 467 = 421782, freq = 20112
FFT 464 = 439431, freq = 19982
FFT 463 = 580140, freq = 19939
FFT 462 = 742031, freq = 19896
FFT 461 = 1.13083e+06, freq = 19853
FFT 460 = 1.52121e+06, freq = 19810
FFT 459 = 2.39335e+06, freq = 19767
FFT 458 = 6.10102e+06, freq = 19724
FFT 457 = 8.55199e+06, freq = 19681
FFT 511 = 19038.5, freq = 22006
FFT 510 = 34383.7, freq = 21963
FFT 507 = 45213.6, freq = 21834
FFT 502 = 57703.2, freq = 21619
FFT 497 = 68287.1, freq = 21404
FFT 495 = 77734.4, freq = 21317
FFT 476 = 78354.6, freq = 20499
FFT 473 = 114376, freq = 20370
FFT 461 = 121308, freq = 19853
FFT 457 = 333077, freq = 19681
FFT 432 = 376143, freq = 18604
FFT 430 = 408537, freq = 18518
FFT 429 = 516953, freq = 18475
FFT 428 = 547818, freq = 18432
FFT 427 = 738405, freq = 18389
FFT 426 = 977940, freq = 18346
FFT 425 = 1.38833e+06, freq = 18303
FFT 424 = 2.37556e+06, freq = 18260
FFT 423 = 7.95338e+06, freq = 18217
FFT 511 = 57196.4, freq = 22006
FFT 510 = 78892.6, freq = 21963
FFT 507 = 99249.9, freq = 21834
FFT 499 = 118080, freq = 21490
FFT 462 = 177799, freq = 19896
FFT 430 = 193671, freq = 18518
FFT 428 = 209548, freq = 18432
FFT 425 = 245375, freq = 18303
FFT 424 = 316264, freq = 18260
FFT 415 = 387510, freq = 17872
FFT 413 = 471009, freq = 17786
FFT 412 = 594413, freq = 17743
FFT 411 = 621151, freq = 17700
FFT 410 = 890498, freq = 17657
FFT 409 = 1.25766e+06, freq = 17614
FFT 408 = 1.86376e+06, freq = 17571
FFT 407 = 4.8471e+06, freq = 17528
FFT 406 = 8.58538e+06, freq = 17484
Data: 10010011
FFT 511 = 75249.4, freq = 22006
FFT 508 = 79126.2, freq = 21877
FFT 486 = 109112, freq = 20930
FFT 464 = 124662, freq = 19982
FFT 436 = 125793, freq = 18776
FFT 432 = 127746, freq = 18604
FFT 430 = 135761, freq = 18518
FFT 428 = 167508, freq = 18432
FFT 426 = 211407, freq = 18346
FFT 418 = 354794, freq = 18001
FFT 415 = 357122, freq = 17872
FFT 414 = 469488, freq = 17829
FFT 413 = 596980, freq = 17786
FFT 412 = 815343, freq = 17743
FFT 411 = 1.02533e+06, freq = 17700
FFT 410 = 1.7968e+06, freq = 17657
FFT 409 = 7.80518e+06, freq = 17614
FFT 511 = 118030, freq = 22006
FFT 508 = 143705, freq = 21877
FFT 503 = 152955, freq = 21662
FFT 493 = 164923, freq = 21231
FFT 492 = 166867, freq = 21188
FFT 485 = 170059, freq = 20887
FFT 478 = 186709, freq = 20585
FFT 475 = 201794, freq = 20456
FFT 474 = 219602, freq = 20413
FFT 473 = 314644, freq = 20370
FFT 469 = 376993, freq = 20198
FFT 466 = 463697, freq = 20068
FFT 465 = 519663, freq = 20025
FFT 464 = 620684, freq = 19982
FFT 463 = 819139, freq = 19939
FFT 462 = 1.21511e+06, freq = 19896
FFT 461 = 2.16759e+06, freq = 19853
FFT 460 = 1.10292e+07, freq = 19810
FFT 511 = 77289.5, freq = 22006
FFT 504 = 95234.7, freq = 21705
FFT 500 = 96236.7, freq = 21533
FFT 496 = 131143, freq = 21360
FFT 474 = 132994, freq = 20413
FFT 472 = 160219, freq = 20327
FFT 465 = 176695, freq = 20025
FFT 460 = 305660, freq = 19810
FFT 449 = 339042, freq = 19336
FFT 447 = 361195, freq = 19250
FFT 446 = 420127, freq = 19207
FFT 445 = 599440, freq = 19164
FFT 444 = 938558, freq = 19121
FFT 443 = 1.30918e+06, freq = 19078
FFT 442 = 2.98251e+06, freq = 19035
FFT 441 = 1.39931e+07, freq = 18992
FFT 511 = 78009.3, freq = 22006
FFT 498 = 84094.5, freq = 21447
FFT 443 = 87212.2, freq = 19078
FFT 442 = 146302, freq = 19035
FFT 441 = 544405, freq = 18992
FFT 411 = 1.07528e+07, freq = 17700
FFT 511 = 40722.3, freq = 22006
FFT 510 = 59407.7, freq = 21963
FFT 500 = 64245.6, freq = 21533
FFT 493 = 68446.6, freq = 21231
FFT 492 = 70416.3, freq = 21188
